slang,formal
mt,pemeliharaan sistem
muak,sangat muak
mual,sangat muak
mubes,musyawarah besar
mudah,mudah
mudah dipahami,sangat mudah digunakan praktis
mudahh,sangat mudah
muka gak kedetek,verifikasi wajah biometrik gagal terdeteksi
mulu,selalu
muluk,selalu
muly,selalu
mumet,sangat pusing
mumet ndase,sangat pusing
mumpung,selagi
munas,musyawarah nasional
muntaber,muntah dan berak
musti,mesti
mutasi gak keluar,riwayat mutasi transaksi gagal tampil
mutasi keluarga,pemindahan data
mutasi telat,riwayat mutasi transaksi lambat muncul
muter,memuat lama
muter muter,proses memuat data sangat lambat berputar terus
muter-muter,proses memuat data sangat lambat berputar terus
muter2,proses memuat data sangat lambat berputar terus
muupz,maaf
mw,now watching
n,dan
nais,sangat bagus
najis,sangat jijik
nanam,menanam
nanya,tanya
napa,kenapa
napi,narapidana
napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
narkoba,"narkotika, psikotropika, dan obat terlarang"
nasgor,nasi goreng
nauzubillah,sangat buruk
nda,tidak
ndak,tidak
ndiri,sendiri
ne,ini
nekolin,neokolonialisme
nembak,menyatakan cinta
nengok,lihat
nfc,fitur sensor nfc handphone
ngabuburit,menunggu berbuka puasa
ngaco,rusak buruk
ngak,tidak
ngaku,mengaku
ngambil,mengambil
nganggur,tidak punya pekerjaan
ngantre,mengantre
ngantri,mengantre
ngapah,kenapa
ngaret,terlambat
ngasih,memberikan
nge crash,aplikasi rusak macet keluar
nge hang,aplikasi macet berhenti merespon
ngebandel,berbuat bandel
ngebantu,bantu
ngebug,terdapat masalah
ngecrash,aplikasi rusak macet keluar
ngefreeze,layar membeku
ngegosip,bergosip
ngehang,aplikasi macet berhenti merespon
ngeklaim,mengklaim
ngeksis,menjadi eksis
ngelag,lemot lambat
ngelagg,sangat lambat
ngelaggg,sangat lambat
ngeleg,lemot lambat
ngeleh,lemot lambat
ngeles,banyak alasan
ngeliat,melihat
ngelidur,menggigau
ngerampok,merampok
ngerjain,mengerjakan
ngerubah,mengganti
ngga,tidak
nggak,tidak
ngibul,berbohong menipu
ngiler,mau
ngiri,iri
ngirim,mengirim
ngisiin,mengisikan
ngmng,bicara
ngomong,bicara
ngubah,mengganti
ngubek2,mencari-cari
nguras emosi,sangat menjengkelkan membuat emosi lelah
ngurus,mengurus
nice,sangat bagus
nie,ini
nih,ini
nik,nomor induk
nipu,penipuan merugikan
